User_ID,User_Name,Name,Tweets/Hashtags,Retweets/Tweets
818155,caro,Caroline McCarthy,1.547169811,0.050251256
7121092,Carolineoncrack,Caroline on Crack,2.080385852,0.064050235
15452859,DawnSandomeno,Dawn Sandomeno,4.057877814,0.022613065
15655027,mattduckor,Matt Duckor,2.018726592,0.009733124
18478105,stevedolinsky,Steve Dolinsky,1.711656442,0.148241206
18809624,jennifer,Jen Rubio,1.125,0.083018868
20253942,lauratrevey,Laura Trevey,1.900503778,0.004396985
21586778,kellyryanobrien,KELLY RYAN OBRIEN,2.613003096,0.061557789
22981009,mollyyeh,molly yeh,1.38317757,0.152324121
23241541,camillestyles,Camille Styles,2.217557252,0.029199372
26561883,theyearinfood,KimberleyHasselbrink,1.083333333,0.013819095
39940842,concoctologist,Tricia Carr,1.886029412,0.037988827
86369703,jetsetfarryn,Jetset Farryn,1.673543689,0.013567839
96697085,AlexisKornblum,Lexi's Clean Kitchen,2.041493776,0.014456317
172758851,LizaUtter,Liza Utter,2.274853801,0.035175879
213405395,inspiredbycharm,Michael Wurm Jr.,2.50397878,0.027409776
241844284,freutcake,Leah Bergman,1.796052632,0.007537688
260773660,thefauxmartha,Melissa Coleman,2.04,0.050251256
483195215,MacCocktail,MacCocktail,1.530685921,0.819458375
873828446,HBHarvest,HalfBakedHarvest,2.076628352,0.098587127
